name,year,expenses,degree,enrollment,level,control
American Institute of Technology,2006,5065,,330,Less than 2 years (below associate),Private for-profit
American Institute of Technology,2007,3766,,490,Less than 2 years (below associate),Private for-profit
American Institute of Technology,2008,3234,,483,Less than 2 years (below associate),Private for-profit
American Institute of Technology,2009,2692,,371,Less than 2 years (below associate),Private for-profit
American Institute of Technology,2010,2633,,409,Less than 2 years (below associate),Private for-profit
American Institute of Technology,2011,2392,,421,At least 2 but less than 4 years,Private for-profit
American Institute of Technology,2012,2655,,474,Less than 2 years (below associate),Private for-profit
American Institute of Technology,2013,3061,,278,Less than 2 years (below associate),Private for-profit
American National University,2006,2182,75,2877,Four or more years,Private for-profit
American National University,2007,2339,50,2979,Four or more years,Private for-profit
American National University,2008,3200,100,3574,Four or more years,Private for-profit
American National University,2009,3568,70,5574,Four or more years,Private for-profit
American National University,2010,4156,100,1999,Four or more years,Private for-profit
American National University,2011,4038,61,2694,Four or more years,Private for-profit
American National University,2012,5477,66,1586,Four or more years,Private for-profit
American National University,2013,4493,65,1390,Four or more years,Private for-profit
American Trade School,2006,0,,,Less than 2 years (below associate),Private for-profit
American Trade School,2007,0,,,Less than 2 years (below associate),Private for-profit
American Trade School,2008,0,,,Less than 2 years (below associate),Private for-profit
American Trade School,2009,0,,,Less than 2 years (below associate),Private for-profit
American Trade School,2010,0,,,Less than 2 years (below associate),Private for-profit
American Trade School,2011,3289,,98,Less than 2 years (below associate),Private for-profit
American Trade School,2012,4885,,99,Four or more years,Private for-profit
American Trade School,2013,2391,,97,Less than 2 years (below associate),Private for-profit
Anthem College-Fenton,2006,2636,,485,At least 2 but less than 4 years,Private for-profit
Anthem College-Fenton,2007,2586,,500,At least 2 but less than 4 years,Private for-profit
Anthem College-Fenton,2008,2915,,448,At least 2 but less than 4 years,Private for-profit
Anthem College-Fenton,2009,2765,,446,At least 2 but less than 4 years,Private for-profit
Anthem College-Fenton,2010,2780,,479,At least 2 but less than 4 years,Private for-profit
Anthem College-Fenton,2011,3500,,346,At least 2 but less than 4 years,Private for-profit
Anthem College-Fenton,2012,2798,,246,Four or more years,Private for-profit
Anthem College-Fenton,2013,1334,,282,At least 2 but less than 4 years,Private for-profit
Anthem College-Kansas City,2006,1821,,632,At least 2 but less than 4 years,Private for-profit
Anthem College-Kansas City,2007,2274,,509,At least 2 but less than 4 years,Private for-profit
Anthem College-Kansas City,2008,3002,,192,At least 2 but less than 4 years,Private for-profit
Anthem College-Kansas City,2009,3526,,323,At least 2 but less than 4 years,Private for-profit
Anthem College-Kansas City,2010,3340,,268,At least 2 but less than 4 years,Private for-profit
Anthem College-Kansas City,2011,3755,,277,At least 2 but less than 4 years,Private for-profit
Anthem College-Kansas City,2012,3118,,262,Four or more years,Private for-profit
Anthem College-Kansas City,2013,2353,,74,At least 2 but less than 4 years,Private for-profit
Anthem College-Maryland Heights,2006,4929,,677,At least 2 but less than 4 years,Private for-profit
Anthem College-Maryland Heights,2007,6744,,601,At least 2 but less than 4 years,Private for-profit
Anthem College-Maryland Heights,2008,13323,,406,At least 2 but less than 4 years,Private for-profit
Anthem College-Maryland Heights,2009,10027,,346,At least 2 but less than 4 years,Private for-profit
Anthem College-Maryland Heights,2010,3762,,382,At least 2 but less than 4 years,Private for-profit
Anthem College-Maryland Heights,2011,3999,,267,At least 2 but less than 4 years,Private for-profit
Anthem College-Maryland Heights,2012,6250,,242,At least 2 but less than 4 years,Private for-profit
Anthem College-Maryland Heights,2013,1297,,277,At least 2 but less than 4 years,Private for-profit
Anthem College-Phoenix,2006,3705,61,5340,Four or more years,Private for-profit
Anthem College-Phoenix,2007,3175,,5742,Four or more years,Private for-profit
Anthem College-Phoenix,2008,3989,,2280,Four or more years,Private for-profit
Anthem College-Phoenix,2009,6615,77,816,Four or more years,Private for-profit
Anthem College-Phoenix,2010,3357,69,1748,Four or more years,Private for-profit
Anthem College-Phoenix,2011,4170,55,2663,Four or more years,Private for-profit
Anthem College-Phoenix,2012,1683,80,1856,Four or more years,Private for-profit
Anthem College-Phoenix,2013,993,46,2238,Four or more years,Private for-profit
Appalachian College of Pharmacy,2006,0,,,Four or more years,Private not-for-profit
Appalachian College of Pharmacy,2007,0,,194,Four or more years,Private not-for-profit
Appalachian College of Pharmacy,2008,12090,,191,Four or more years,Private not-for-profit
Appalachian College of Pharmacy,2009,12341,,199,Four or more years,Private not-for-profit
Appalachian College of Pharmacy,2010,8268,,207,Four or more years,Private not-for-profit
Appalachian College of Pharmacy,2011,11974,0,219,Four or more years,Private not-for-profit
Appalachian College of Pharmacy,2012,8162,0,223,Four or more years,Private for-profit
Appalachian College of Pharmacy,2013,15674,0,220,Four or more years,Private not-for-profit
Appalachian School of Law,2006,6277,,369,Four or more years,Private not-for-profit
Appalachian School of Law,2007,7055,,340,Four or more years,Private not-for-profit
Appalachian School of Law,2008,6076,,350,Four or more years,Private not-for-profit
Appalachian School of Law,2009,7882,,334,Four or more years,Private not-for-profit
Appalachian School of Law,2010,8133,,313,Four or more years,Private not-for-profit
Appalachian School of Law,2011,9069,0,332,Four or more years,Private not-for-profit
Appalachian School of Law,2012,1817,0,263,Four or more years,Private for-profit
Appalachian School of Law,2013,11623,0,217,Four or more years,Private not-for-profit
Applied Technology Services,2006,0,,,Less than 2 years (below associate),Public
Applied Technology Services,2007,0,,,Less than 2 years (below associate),Public
Applied Technology Services,2008,8792,,137,Less than 2 years (below associate),Public
Applied Technology Services,2009,5176,,138,Less than 2 years (below associate),Public
Applied Technology Services,2010,5209,,147,Less than 2 years (below associate),Public
Applied Technology Services,2011,4649,,160,Less than 2 years (below associate),Public
Applied Technology Services,2012,0,,159,Four or more years,Private for-profit
Applied Technology Services,2013,4697,,166,Less than 2 years (below associate),Public
Aquinas Institute of Theology,2006,5656,,189,Four or more years,Private not-for-profit
Aquinas Institute of Theology,2007,5916,,147,Four or more years,Private not-for-profit
Aquinas Institute of Theology,2008,11758,,148,Four or more years,Private not-for-profit
Aquinas Institute of Theology,2009,10561,,133,Four or more years,Private not-for-profit
Aquinas Institute of Theology,2010,10207,,120,Four or more years,Private not-for-profit
Aquinas Institute of Theology,2011,13974,0,110,Four or more years,Private not-for-profit
Aquinas Institute of Theology,2012,2701,0,109,Four or more years,Private not-for-profit
Aquinas Institute of Theology,2013,14035,0,85,Four or more years,Private not-for-profit
Argosy University-Phoenix,2006,2985,,559,Four or more years,Private for-profit
Argosy University-Phoenix,2007,3507,,636,Four or more years,Private for-profit
Argosy University-Phoenix,2008,4501,,681,Four or more years,Private for-profit
Argosy University-Phoenix,2009,4632,,759,Four or more years,Private for-profit
Argosy University-Phoenix,2010,4630,,721,Four or more years,Private for-profit
Argosy University-Phoenix,2011,3931,14,723,Four or more years,Private for-profit
Argosy University-Phoenix,2012,1967,24,445,Four or more years,Private for-profit
Argosy University-Phoenix,2013,5697,34,440,Four or more years,Private for-profit
Argosy University-Phoenix Online Division,2006,0,,,Four or more years,Private for-profit
Argosy University-Phoenix Online Division,2007,0,,,Four or more years,Private for-profit
Argosy University-Phoenix Online Division,2008,0,,,Four or more years,Private for-profit
Argosy University-Phoenix Online Division,2009,1584,,5334,Four or more years,Private for-profit
Argosy University-Phoenix Online Division,2010,2890,,7986,Four or more years,Private for-profit
Argosy University-Phoenix Online Division,2011,3061,201,12227,Four or more years,Private for-profit
Argosy University-Phoenix Online Division,2012,1779,281,10715,Less than 2 years (below associate),Private for-profit
Argosy University-Phoenix Online Division,2013,2696,494,11746,Four or more years,Private for-profit
Argosy University-Washington DC,2006,2242,,810,Four or more years,Private for-profit
Argosy University-Washington DC,2007,3025,,779,Four or more years,Private for-profit
Argosy University-Washington DC,2008,4526,,875,Four or more years,Private for-profit
Argosy University-Washington DC,2009,5407,,1046,Four or more years,Private for-profit
Argosy University-Washington DC,2010,5681,,1101,Four or more years,Private for-profit
Argosy University-Washington DC,2011,4282,13,989,Four or more years,Private for-profit
Argosy University-Washington DC,2012,5769,11,568,Four or more years,Private for-profit
Argosy University-Washington DC,2013,6234,13,505,Four or more years,Private for-profit
Arizona Academy of Beauty-East,2006,2320,,45,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-East,2007,2683,,47,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-East,2008,2653,,55,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-East,2009,1955,,82,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-East,2010,1742,,83,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-East,2011,2278,,50,Less than 2 years (below associate),Private for-profit
Arizona Academy of Beauty-East,2012,4032,,54,Less than 2 years (below associate),Private for-profit
